user_id,recipe_id,score_colaborativo,score_conteudo,score_validade,score_colaborativo_norm,score_conteudo_norm,score_validade_norm,score_final,recipe_name,matched_ingredients,justificativa
4500,76930,0.7125851557615313,0.355100809904781,0.0,0.8673412093824756,0.355100809904781,0.0,0.5145888276887873,funky chicken with sesame noodles,,Nao encontrou ingredientes urgentes informados.
4500,63689,0.4343490922896814,0.3225252503920965,0.0,0.6555109478887325,0.3225252503920965,0.0,0.4078637641871634,my family s favorite sloppy joes  pizza joes,,Nao encontrou ingredientes urgentes informados.
4500,135350,0.3589137192531824,0.09458252621937527,0.42857142857142855,0.5980795186311217,0.09458252621937527,0.42857142857142855,0.38795395327507187,fannie farmer s classic baked macaroni   cheese,"flour, milk","Aproveita ingredientes urgentes: flour, milk"
4500,8782,0.5018293615931632,0.13941029977349798,0.0,0.7068858951686022,0.13941029977349798,0.0,0.3668922577465953,roast  sticky  chicken,,Nao encontrou ingredientes urgentes informados.
4500,82925,0.5476192443505313,0.0,0.14285714285714285,0.7417472381491914,0.0,0.14285714285714285,0.36235768573856475,edna s apple crumble  aka  apple crisp,flour,Aproveita ingredientes urgentes: flour
4500,50719,0.1869330050012209,0.05637088170276758,0.6428571428571429,0.4671449473994542,0.05637088170276758,0.6428571428571429,0.3585164634971516,the sweetest blueberry muffins,"eggs, flour, milk","Aproveita ingredientes urgentes: eggs, flour, milk"
4500,37413,0.19513898874550048,0.321452381937354,0.14285714285714285,0.47339243257687447,0.321452381937354,0.14285714285714285,0.354106356909096,beef patties in onion gravy,flour,Aproveita ingredientes urgentes: flour
4500,103215,0.19376813988393482,0.3096220276434419,0.14285714285714285,0.47234876027505135,0.3096220276434419,0.14285714285714285,0.34949608037040636,panda express orange chicken,flour,Aproveita ingredientes urgentes: flour
4500,43509,0.2911087141436533,0.0,0.5,0.5464573393071633,0.0,0.5,0.3459058026882235,crumb topped banana muffins,"banana, flour","Aproveita ingredientes urgentes: banana, flour"
4500,67256,-0.012184797865286947,0.0,1.0,0.3155500185359664,0.0,1.0,0.3419975083411849,best ever banana cake with cream cheese frosting,"banana, eggs, flour, milk","Aproveita ingredientes urgentes: banana, eggs, flour, milk"
